GEO_ID,GEO_NAME
country/TKM,Turkmenistan
country/LUX,Luxembourg
country/FRA,France
country/ROU,Romania
country/MAF,Saint Martin
country/TON,Tonga
country/DEU,Germany
country/KWT,Kuwait
country/BEN,Benin
country/MNE,Montenegro
country/ZWE,Zimbabwe
country/CYP,Cyprus
country/KAZ,Kazakhstan
country/CUB,Cuba
country/SVK,Slovakia
country/GIN,Guinea
country/UKR,Ukraine
country/PRY,Paraguay
country/SYR,Syria
country/NPL,Nepal
country/MYS,Malaysia
country/LBY,Libya
country/MLI,Mali
country/LIE,Liechtenstein
country/BFA,Burkina Faso
country/TGO,Togo
country/BOL,Bolivia
country/LTU,Lithuania
country/SYC,Seychelles
country/DNK,Denmark
country/LCA,Saint Lucia
country/GNB,Guinea-Bissau
country/VNM,Vietnam
country/PLW,Palau
country/NLD,Netherlands
country/LSO,Lesotho
country/GAB,Gabon
country/AGO,Angola
country/IND,India
country/MKD,Macedonia [FYROM]
country/GUY,Guyana
country/ECU,Ecuador
country/FSM,Federated States of Micronesia
country/GRL,Greenland
country/TUR,Turkey
country/GRC,Greece
country/HND,Honduras
country/KHM,Cambodia
country/DMA,Dominica
country/BHS,Bahamas
country/KIR,Kiribati
country/ERI,Eritrea
country/VCT,Saint Vincent and the Grenadines
country/LKA,Sri Lanka
country/KNA,Saint Kitts and Nevis
country/CAN,Canada
country/IRQ,Iraq
country/NRU,Nauru
country/MOZ,Mozambique
country/AUS,Australia
country/VEN,Venezuela
country/BRB,Barbados
country/LVA,Latvia
country/BMU,Bermuda
country/BTN,Bhutan
country/SLE,Sierra Leone
country/CPV,Cape Verde
country/GBR,United Kingdom
country/CAF,Central African Republic
country/CHL,Chile
country/SDN,Sudan
country/ARE,United Arab Emirates
country/UZB,Uzbekistan
country/FIN,Finland
country/BHR,Bahrain
country/PNG,Papua New Guinea
country/SRB,Serbia
country/IMN,Isle of Man
country/SEN,Senegal
country/HUN,Hungary
country/MDV,Maldives
country/MMR,Myanmar
country/SVN,Slovenia
country/LAO,Laos
country/AUT,Austria
country/ARG,Argentina
country/PRI,Puerto Rico
country/CHE,Switzerland
country/SAU,Saudi Arabia
country/BGR,Bulgaria
country/GTM,Guatemala
country/HRV,Croatia
country/MLT,Malta
country/VUT,Vanuatu
country/JAM,Jamaica
country/RWA,Rwanda
country/WSM,Samoa
country/SXM,Sint Maarten
country/ALB,Albania
country/COM,Comoros
country/AZE,Azerbaijan
country/NER,Niger
country/AND,Andorra
country/SLB,Solomon Islands
country/CUW,Curaçao
country/ARM,Armenia
country/BEL,Belgium
country/QAT,Qatar
country/BIH,Bosnia and Herzegovina
country/ETH,Ethiopia
country/SWZ,Eswatini
country/SSD,South Sudan
country/MUS,Mauritius
country/BGD,Bangladesh
country/POL,Poland
country/MNP,Northern Mariana Islands
country/ZMB,Zambia
country/SWE,Sweden
country/RUS,Russia
country/NIC,Nicaragua
country/SMR,San Marino
country/TUV,Tuvalu
country/SLV,El Salvador
country/GHA,Ghana
country/DZA,Algeria
country/COD,Congo [DRC]
country/NZL,New Zealand
country/ABW,Aruba
country/BWA,Botswana
country/MDA,Moldova
country/NOR,Norway
country/ZAF,South Africa
country/JOR,Jordan
country/ATG,Antigua and Barbuda
country/YEM,Yemen
country/LBR,Liberia
country/PAN,Panama
country/GNQ,Equatorial Guinea
country/BLR,Belarus
country/KGZ,Kyrgyzstan
country/ASM,American Samoa
country/GRD,Grenada
country/JPN,Japan
country/THA,Thailand
country/CYM,Cayman Islands
country/IRN,Iran
country/GMB,Gambia
country/IRL,Ireland
country/TZA,Tanzania
country/PYF,French Polynesia
country/AFG,Afghanistan
country/CMR,Cameroon
country/ISL,Iceland
country/TCD,Chad
country/COL,Colombia
country/BRN,Brunei
country/MNG,Mongolia
country/COG,Congo [Republic]
country/DJI,Djibouti
country/BDI,Burundi
country/ESP,Spain
country/NCL,New Caledonia
country/PRT,Portugal
country/PAK,Pakistan
country/UGA,Uganda
country/MAR,Morocco
country/CHN,China
country/CZE,Czech Republic
country/HTI,Haiti
country/NGA,Nigeria
country/URY,Uruguay
country/SGP,Singapore
country/STP,São Tomé and Príncipe
country/GUM,Guam
country/HKG,Hong Kong
country/TJK,Tajikistan
country/KOR,South Korea
country/SUR,Suriname
country/IDN,Indonesia
country/FJI,Fiji
country/LBN,Lebanon
country/MRT,Mauritania
country/SOM,Somalia
country/TCA,Turks and Caicos Islands
country/MDG,Madagascar
country/BLZ,Belize
country/KEN,Kenya
country/MCO,Monaco
country/CRI,Costa Rica
country/PSE,Palestinian Territories
country/TLS,East Timor
country/USA,United States
country/DOM,Dominican Republic
country/TTO,Trinidad and Tobago
country/ITA,Italy
country/MAC,Macau
country/PER,Peru
country/MEX,Mexico
country/ISR,Israel
country/TUN,Tunisia
country/BRA,Brazil
country/MWI,Malawi
country/PHL,Philippines
country/CIV,Côte d'Ivoire
country/OMN,Oman
country/EST,Estonia
country/EGY,Egypt
country/VIR,U.S. Virgin Islands
country/FRO,Faroe Islands
country/NAM,Namibia
country/GEO,Georgia
country/MHL,Marshall Islands
